city,county_name,state_id,lat,lng,population
Brea,Orange,CA,33.9254,-117.8656,43255
San Bruno,San Mateo,CA,37.6254,-122.4313,42807
Oakley,Contra Costa,CA,37.9929,-121.6951,42543
Bell Gardens,Los Angeles,CA,33.9663,-118.155,42012
Campbell,Santa Clara,CA,37.2802,-121.9538,41793
La Quinta,Riverside,CA,33.6536,-116.2785,41748
Rancho Palos Verdes,Los Angeles,CA,33.7554,-118.3637,41530
Los Banos,Merced,CA,37.063,-120.8406,40972
Montclair,San Bernardino,CA,34.0714,-117.698,40083
San Gabriel,Los Angeles,CA,34.0948,-118.099,39899
Calexico,Imperial,CA,32.6849,-115.4944,39825
La Puente,Los Angeles,CA,34.0323,-117.9533,39614
Culver City,Los Angeles,CA,34.0058,-118.3968,39185
Pacifica,San Mateo,CA,37.6112,-122.4781,38546
Martinez,Contra Costa,CA,37.9985,-122.116,38297
Stanton,Orange,CA,33.8002,-117.9935,38139
La Presa,San Diego,CA,32.711,-117.0027,37437
Wildomar,Riverside,CA,33.6173,-117.2582,37229
West Hollywood,Los Angeles,CA,34.0882,-118.3718,36475
Moorpark,Ventura,CA,34.2855,-118.877,36375
Monrovia,Los Angeles,CA,34.165,-117.9921,36331
Claremont,Los Angeles,CA,34.1259,-117.7153,36266
San Juan Capistrano,Orange,CA,33.5009,-117.6544,35911
Temple City,Los Angeles,CA,34.1021,-118.0579,35811
Bell,Los Angeles,CA,33.9801,-118.1798,35521
Auburn,Placer,CA,38.895,-121.0778,35311
Manhattan Beach,Los Angeles,CA,33.8895,-118.3972,35183
Pleasant Hill,Contra Costa,CA,37.954,-122.0759,34839
Orangevale,Sacramento,CA,38.6881,-121.2209,34757
Oildale,Kern,CA,35.4249,-119.0279,34723
Menlo Park,San Mateo,CA,37.4686,-122.1672,34698
Arcata,Humboldt,CA,40.8615,-124.0757,34616
Grass Valley,Nevada,CA,39.2237,-121.0521,34196
Adelanto,San Bernardino,CA,34.5815,-117.4397,34049
Foster City,San Mateo,CA,37.5553,-122.2659,33901
Sonoma,Sonoma,CA,38.2902,-122.4598,33831
French Valley,Riverside,CA,33.5998,-117.1069,33818
Beverly Hills,Los Angeles,CA,34.0786,-118.4021,33792
Foothill Farms,Sacramento,CA,38.6867,-121.3475,33749
Westmont,Los Angeles,CA,33.9417,-118.3018,33723
San Dimas,Los Angeles,CA,34.1082,-117.809,33621
Dana Point,Orange,CA,33.4733,-117.6968,33577
Fallbrook,San Diego,CA,33.3693,-117.2259,33021
Ridgecrest,Kern,CA,35.6308,-117.6621,32684
Lawndale,Los Angeles,CA,33.8884,-118.3531,32389
La Verne,Los Angeles,CA,34.1208,-117.7702,31974
Placerville,El Dorado,CA,38.7308,-120.7978,31943
Spring Valley,San Diego,CA,32.7316,-116.9766,31591
Banning,Riverside,CA,33.946,-116.8992,31221
Laguna Hills,Orange,CA,33.592,-117.6992,31207
Fair Oaks,Sacramento,CA,38.6504,-121.2497,31002
San Pablo,Contra Costa,CA,37.9628,-122.3425,30990
Goleta,Santa Barbara,CA,34.436,-119.8596,30911
Burlingame,San Mateo,CA,37.586,-122.3669,30889
Barstow,San Bernardino,CA,34.8661,-117.0472,30605
Orcutt,Santa Barbara,CA,34.8668,-120.4269,30493
Ladera Ranch,Orange,CA,33.5491,-117.6416,30288
Santa Paula,Ventura,CA,34.3521,-119.0698,30233
Los Gatos,Santa Clara,CA,37.2303,-121.956,30222
South Lake Tahoe,El Dorado,CA,38.9393,-119.9828,30188
San Carlos,San Mateo,CA,37.4982,-122.268,30185
Saratoga,Santa Clara,CA,37.2684,-122.0263,30153
Los Altos,Santa Clara,CA,37.3685,-122.0966,30089
Atascadero,San Luis Obispo,CA,35.4827,-120.6858,30075
Walnut,Los Angeles,CA,34.0334,-117.8593,29685
Suisun City,Solano,CA,38.2473,-122.009,29663
Ukiah,Mendocino,CA,39.1463,-123.2105,29561
Atwater,Merced,CA,37.3543,-120.5981,29559
East Palo Alto,San Mateo,CA,37.4671,-122.1352,29314
Wasco,Kern,CA,35.5938,-119.3671,28647
Vineyard,Sacramento,CA,38.4744,-121.319,28315
Benicia,Solano,CA,38.0725,-122.1525,28240
Monterey,Monterey,CA,36.5922,-121.8807,28178
Sonora,Tuolumne,CA,37.9819,-120.3828,28035
Galt,Sacramento,CA,38.2693,-121.3,27954
Sanger,Fresno,CA,36.699,-119.5575,27777
Isla Vista,Santa Barbara,CA,34.4144,-119.8581,27690
Imperial Beach,San Diego,CA,32.5689,-117.1184,27440
West Whittier-Los Nietos,Los Angeles,CA,33.9759,-118.0689,27144
Windsor,Sonoma,CA,38.5417,-122.8086,27128
Maywood,Los Angeles,CA,33.9885,-118.1877,26973
Belmont,San Mateo,CA,37.5154,-122.2955,26941
Lemon Grove,San Diego,CA,32.7331,-117.0344,26811
Lemoore,Kings,CA,36.2949,-119.7983,26725
Temescal Valley,Riverside,CA,33.7581,-117.4677,26709
Lafayette,Contra Costa,CA,37.8919,-122.1189,26638
Norco,Riverside,CA,33.9252,-117.5499,26604
Brawley,Imperial,CA,32.9783,-115.5287,26309
Hercules,Contra Costa,CA,38.0064,-122.2564,26276
Soledad,Monterey,CA,36.4432,-121.3426,26207
El Cerrito,Contra Costa,CA,37.9197,-122.3025,25508
San Lorenzo,Alameda,CA,37.6737,-122.1349,25388
South Pasadena,Los Angeles,CA,34.1103,-118.1573,25329
Valinda,Los Angeles,CA,34.0401,-117.93,25296
Bay Point,Contra Costa,CA,38.0329,-121.9614,25165
Yucca Valley,San Bernardino,CA,34.1234,-116.4216,25042
Riverbank,Stanislaus,CA,37.7268,-120.9402,24881
North Tustin,Orange,CA,33.7644,-117.7945,24736
Lathrop,San Joaquin,CA,37.809,-121.3131,24483
